budget,tiers,model,n_runs,n_params,qr_rank,estimable,residual_df
215,"1,2,4,5",two_fi,215,91,91,TRUE,124
215,"1,2,4,5",three_fi,215,289,215,FALSE,0
220,"1,2,4,5",main_effects,220,15,15,TRUE,205
220,"1,2,4,5",two_fi,220,91,91,TRUE,129
220,"1,2,4,5",three_fi,220,289,220,FALSE,0
225,"1,2,4,5",main_effects,225,15,15,TRUE,210
225,"1,2,4,5",two_fi,225,91,91,TRUE,134
225,"1,2,4,5",three_fi,225,289,225,FALSE,0
230,"1,2,4,5",main_effects,230,15,15,TRUE,215
230,"1,2,4,5",two_fi,230,91,91,TRUE,139
230,"1,2,4,5",three_fi,230,289,229,FALSE,1
235,"1,2,4,5",main_effects,235,15,15,TRUE,220
235,"1,2,4,5",two_fi,235,91,91,TRUE,144
235,"1,2,4,5",three_fi,235,289,234,FALSE,1
240,"1,2,4,5",main_effects,240,15,15,TRUE,225
240,"1,2,4,5",two_fi,240,91,91,TRUE,149
240,"1,2,4,5",three_fi,240,289,240,FALSE,0
245,"1,2,4,5",main_effects,245,15,15,TRUE,230
245,"1,2,4,5",two_fi,245,91,91,TRUE,154
245,"1,2,4,5",three_fi,245,289,245,FALSE,0
250,"1,2,4,5",main_effects,250,15,15,TRUE,235
250,"1,2,4,5",two_fi,250,91,91,TRUE,159
250,"1,2,4,5",three_fi,250,289,250,FALSE,0
255,"1,2,4,5",main_effects,255,15,15,TRUE,240
255,"1,2,4,5",two_fi,255,91,91,TRUE,164
255,"1,2,4,5",three_fi,255,289,255,FALSE,0
260,"1,2,4,5",main_effects,260,15,15,TRUE,245
260,"1,2,4,5",two_fi,260,91,91,TRUE,169
260,"1,2,4,5",three_fi,260,289,260,FALSE,0
265,"1,2,4,5",main_effects,265,15,15,TRUE,250
265,"1,2,4,5",two_fi,265,91,91,TRUE,174
265,"1,2,4,5",three_fi,265,289,265,FALSE,0
270,"1,2,4,5",main_effects,270,15,15,TRUE,255
270,"1,2,4,5",two_fi,270,91,91,TRUE,179
270,"1,2,4,5",three_fi,270,289,268,FALSE,2
275,"1,2,4,5",main_effects,275,15,15,TRUE,260
275,"1,2,4,5",two_fi,275,91,91,TRUE,184
275,"1,2,4,5",three_fi,275,289,275,FALSE,0
280,"1,2,4,5",main_effects,280,15,15,TRUE,265
280,"1,2,4,5",two_fi,280,91,91,TRUE,189
280,"1,2,4,5",three_fi,280,289,279,FALSE,1
285,"1,2,4,5",main_effects,285,15,15,TRUE,270
285,"1,2,4,5",two_fi,285,91,91,TRUE,194
285,"1,2,4,5",three_fi,285,289,283,FALSE,2
290,"1,2,4,5",main_effects,290,15,15,TRUE,275
290,"1,2,4,5",two_fi,290,91,91,TRUE,199
290,"1,2,4,5",three_fi,290,289,286,FALSE,4
295,"1,2,4,5",main_effects,295,15,15,TRUE,280
295,"1,2,4,5",two_fi,295,91,91,TRUE,204
295,"1,2,4,5",three_fi,295,289,285,FALSE,10
300,"1,2,4,5",main_effects,300,15,15,TRUE,285
300,"1,2,4,5",two_fi,300,91,91,TRUE,209
300,"1,2,4,5",three_fi,300,289,286,FALSE,14
305,"1,2,4,5",main_effects,305,15,15,TRUE,290
305,"1,2,4,5",two_fi,305,91,91,TRUE,214
305,"1,2,4,5",three_fi,305,289,287,FALSE,18
310,"1,2,4,5",main_effects,310,15,15,TRUE,295
310,"1,2,4,5",two_fi,310,91,91,TRUE,219
310,"1,2,4,5",three_fi,310,289,286,FALSE,24
315,"1,2,4,5",main_effects,315,15,15,TRUE,300
315,"1,2,4,5",two_fi,315,91,91,TRUE,224
315,"1,2,4,5",three_fi,315,289,287,FALSE,28
320,"1,2,4,5",main_effects,320,15,15,TRUE,305
320,"1,2,4,5",two_fi,320,91,91,TRUE,229
320,"1,2,4,5",three_fi,320,289,289,TRUE,31
325,"1,2,4,5",main_effects,325,15,15,TRUE,310
325,"1,2,4,5",two_fi,325,91,91,TRUE,234
325,"1,2,4,5",three_fi,325,289,289,TRUE,36
330,"1,2,4,5",main_effects,330,15,15,TRUE,315
330,"1,2,4,5",two_fi,330,91,91,TRUE,239
330,"1,2,4,5",three_fi,330,289,288,FALSE,42
335,"1,2,4,5",main_effects,335,15,15,TRUE,320
335,"1,2,4,5",two_fi,335,91,91,TRUE,244
335,"1,2,4,5",three_fi,335,289,288,FALSE,47
340,"1,2,4,5",main_effects,340,15,15,TRUE,325
340,"1,2,4,5",two_fi,340,91,91,TRUE,249
340,"1,2,4,5",three_fi,340,289,289,TRUE,51
345,"1,2,4,5",main_effects,345,15,15,TRUE,330
345,"1,2,4,5",two_fi,345,91,91,TRUE,254
345,"1,2,4,5",three_fi,345,289,289,TRUE,56
350,"1,2,4,5",main_effects,350,15,15,TRUE,335
350,"1,2,4,5",two_fi,350,91,91,TRUE,259
350,"1,2,4,5",three_fi,350,289,289,TRUE,61
355,"1,2,4,5",main_effects,355,15,15,TRUE,340
355,"1,2,4,5",two_fi,355,91,91,TRUE,264
355,"1,2,4,5",three_fi,355,289,289,TRUE,66
360,"1,2,4,5",main_effects,360,15,15,TRUE,345
360,"1,2,4,5",two_fi,360,91,91,TRUE,269
360,"1,2,4,5",three_fi,360,289,289,TRUE,71
365,"1,2,4,5",main_effects,365,15,15,TRUE,350
365,"1,2,4,5",two_fi,365,91,91,TRUE,274
365,"1,2,4,5",three_fi,365,289,288,FALSE,77
370,"1,2,4,5",main_effects,370,15,15,TRUE,355
370,"1,2,4,5",two_fi,370,91,91,TRUE,279
370,"1,2,4,5",three_fi,370,289,289,TRUE,81
375,"1,2,4,5",main_effects,375,15,15,TRUE,360
375,"1,2,4,5",two_fi,375,91,91,TRUE,284
375,"1,2,4,5",three_fi,375,289,289,TRUE,86
380,"1,2,4,5",main_effects,380,15,15,TRUE,365
380,"1,2,4,5",two_fi,380,91,91,TRUE,289
380,"1,2,4,5",three_fi,380,289,289,TRUE,91
385,"1,2,4,5",main_effects,385,15,15,TRUE,370
385,"1,2,4,5",two_fi,385,91,91,TRUE,294
385,"1,2,4,5",three_fi,385,289,289,TRUE,96
390,"1,2,4,5",main_effects,390,15,15,TRUE,375
390,"1,2,4,5",two_fi,390,91,91,TRUE,299
390,"1,2,4,5",three_fi,390,289,289,TRUE,101
395,"1,2,4,5",main_effects,395,15,15,TRUE,380
395,"1,2,4,5",two_fi,395,91,91,TRUE,304
395,"1,2,4,5",three_fi,395,289,289,TRUE,106
400,"1,2,4,5",main_effects,400,15,15,TRUE,385
400,"1,2,4,5",two_fi,400,91,91,TRUE,309
400,"1,2,4,5",three_fi,400,289,289,TRUE,111
405,"1,2,4,5",main_effects,405,15,15,TRUE,390
405,"1,2,4,5",two_fi,405,91,91,TRUE,314
405,"1,2,4,5",three_fi,405,289,289,TRUE,116
410,"1,2,4,5",main_effects,410,15,15,TRUE,395
410,"1,2,4,5",two_fi,410,91,91,TRUE,319
410,"1,2,4,5",three_fi,410,289,289,TRUE,121
415,"1,2,4,5",main_effects,415,15,15,TRUE,400
415,"1,2,4,5",two_fi,415,91,91,TRUE,324
415,"1,2,4,5",three_fi,415,289,289,TRUE,126
420,"1,2,4,5",main_effects,420,15,15,TRUE,405
420,"1,2,4,5",two_fi,420,91,91,TRUE,329
420,"1,2,4,5",three_fi,420,289,289,TRUE,131
425,"1,2,4,5",main_effects,425,15,15,TRUE,410
425,"1,2,4,5",two_fi,425,91,91,TRUE,334
425,"1,2,4,5",three_fi,425,289,289,TRUE,136
430,"1,2,4,5",main_effects,430,15,15,TRUE,415
430,"1,2,4,5",two_fi,430,91,91,TRUE,339
430,"1,2,4,5",three_fi,430,289,289,TRUE,141
435,"1,2,4,5",main_effects,435,15,15,TRUE,420
435,"1,2,4,5",two_fi,435,91,91,TRUE,344
435,"1,2,4,5",three_fi,435,289,289,TRUE,146
440,"1,2,4,5",main_effects,440,15,15,TRUE,425
440,"1,2,4,5",two_fi,440,91,91,TRUE,349
440,"1,2,4,5",three_fi,440,289,289,TRUE,151
445,"1,2,4,5",main_effects,445,15,15,TRUE,430
445,"1,2,4,5",two_fi,445,91,91,TRUE,354
445,"1,2,4,5",three_fi,445,289,289,TRUE,156
450,"1,2,4,5",main_effects,450,15,15,TRUE,435
450,"1,2,4,5",two_fi,450,91,91,TRUE,359
450,"1,2,4,5",three_fi,450,289,289,TRUE,161
455,"1,2,4,5",main_effects,455,15,15,TRUE,440
455,"1,2,4,5",two_fi,455,91,91,TRUE,364
455,"1,2,4,5",three_fi,455,289,289,TRUE,166
460,"1,2,4,5",main_effects,460,15,15,TRUE,445
460,"1,2,4,5",two_fi,460,91,91,TRUE,369
460,"1,2,4,5",three_fi,460,289,289,TRUE,171
465,"1,2,4,5",main_effects,465,15,15,TRUE,450
465,"1,2,4,5",two_fi,465,91,91,TRUE,374
465,"1,2,4,5",three_fi,465,289,289,TRUE,176
470,"1,2,4,5",main_effects,470,15,15,TRUE,455
470,"1,2,4,5",two_fi,470,91,91,TRUE,379
470,"1,2,4,5",three_fi,470,289,289,TRUE,181
475,"1,2,4,5",main_effects,475,15,15,TRUE,460
475,"1,2,4,5",two_fi,475,91,91,TRUE,384
475,"1,2,4,5",three_fi,475,289,289,TRUE,186
480,"1,2,4,5",main_effects,480,15,15,TRUE,465
480,"1,2,4,5",two_fi,480,91,91,TRUE,389
480,"1,2,4,5",three_fi,480,289,289,TRUE,191
485,"1,2,4,5",main_effects,485,15,15,TRUE,470
485,"1,2,4,5",two_fi,485,91,91,TRUE,394
485,"1,2,4,5",three_fi,485,289,289,TRUE,196
490,"1,2,4,5",main_effects,490,15,15,TRUE,475
490,"1,2,4,5",two_fi,490,91,91,TRUE,399
490,"1,2,4,5",three_fi,490,289,289,TRUE,201
495,"1,2,4,5",main_effects,495,15,15,TRUE,480
495,"1,2,4,5",two_fi,495,91,91,TRUE,404
495,"1,2,4,5",three_fi,495,289,289,TRUE,206
500,"1,2,4,5",main_effects,500,15,15,TRUE,485
500,"1,2,4,5",two_fi,500,91,91,TRUE,409
500,"1,2,4,5",three_fi,500,289,289,TRUE,211
505,"1,2,4,5",main_effects,505,15,15,TRUE,490
505,"1,2,4,5",two_fi,505,91,91,TRUE,414
505,"1,2,4,5",three_fi,505,289,289,TRUE,216
510,"1,2,4,5",main_effects,510,15,15,TRUE,495
510,"1,2,4,5",two_fi,510,91,91,TRUE,419
510,"1,2,4,5",three_fi,510,289,289,TRUE,221
515,"1,2,4,5",main_effects,515,15,15,TRUE,500
515,"1,2,4,5",two_fi,515,91,91,TRUE,424
515,"1,2,4,5",three_fi,515,289,289,TRUE,226
520,"1,2,4,5",main_effects,520,15,15,TRUE,505
520,"1,2,4,5",two_fi,520,91,91,TRUE,429
520,"1,2,4,5",three_fi,520,289,289,TRUE,231
525,"1,2,4,5",main_effects,525,15,15,TRUE,510
525,"1,2,4,5",two_fi,525,91,91,TRUE,434
525,"1,2,4,5",three_fi,525,289,289,TRUE,236
530,"1,2,4,5",main_effects,530,15,15,TRUE,515
530,"1,2,4,5",two_fi,530,91,91,TRUE,439
530,"1,2,4,5",three_fi,530,289,289,TRUE,241
535,"1,2,4,5",main_effects,535,15,15,TRUE,520
535,"1,2,4,5",two_fi,535,91,91,TRUE,444
535,"1,2,4,5",three_fi,535,289,289,TRUE,246
540,"1,2,4,5",main_effects,540,15,15,TRUE,525
540,"1,2,4,5",two_fi,540,91,91,TRUE,449
540,"1,2,4,5",three_fi,540,289,289,TRUE,251
545,"1,2,4,5",main_effects,545,15,15,TRUE,530
545,"1,2,4,5",two_fi,545,91,91,TRUE,454
545,"1,2,4,5",three_fi,545,289,289,TRUE,256
550,"1,2,4,5",main_effects,550,15,15,TRUE,535
550,"1,2,4,5",two_fi,550,91,91,TRUE,459
550,"1,2,4,5",three_fi,550,289,289,TRUE,261
555,"1,2,4,5",main_effects,555,15,15,TRUE,540
555,"1,2,4,5",two_fi,555,91,91,TRUE,464
555,"1,2,4,5",three_fi,555,289,289,TRUE,266
560,"1,2,4,5",main_effects,560,15,15,TRUE,545
560,"1,2,4,5",two_fi,560,91,91,TRUE,469
560,"1,2,4,5",three_fi,560,289,289,TRUE,271
565,"1,2,4,5",main_effects,565,15,15,TRUE,550
565,"1,2,4,5",two_fi,565,91,91,TRUE,474
565,"1,2,4,5",three_fi,565,289,289,TRUE,276
570,"1,2,4,5",main_effects,570,15,15,TRUE,555
570,"1,2,4,5",two_fi,570,91,91,TRUE,479
570,"1,2,4,5",three_fi,570,289,289,TRUE,281
575,"1,2,4,5",main_effects,575,15,15,TRUE,560
575,"1,2,4,5",two_fi,575,91,91,TRUE,484
575,"1,2,4,5",three_fi,575,289,289,TRUE,286
580,"1,2,4,5",main_effects,580,15,15,TRUE,565
580,"1,2,4,5",two_fi,580,91,91,TRUE,489
580,"1,2,4,5",three_fi,580,289,289,TRUE,291
585,"1,2,4,5",main_effects,585,15,15,TRUE,570
585,"1,2,4,5",two_fi,585,91,91,TRUE,494
585,"1,2,4,5",three_fi,585,289,289,TRUE,296
590,"1,2,4,5",main_effects,590,15,15,TRUE,575
590,"1,2,4,5",two_fi,590,91,91,TRUE,499
590,"1,2,4,5",three_fi,590,289,289,TRUE,301
595,"1,2,4,5",main_effects,595,15,15,TRUE,580
595,"1,2,4,5",two_fi,595,91,91,TRUE,504
595,"1,2,4,5",three_fi,595,289,289,TRUE,306
600,"1,2,4,5",main_effects,600,15,15,TRUE,585
600,"1,2,4,5",two_fi,600,91,91,TRUE,509
600,"1,2,4,5",three_fi,600,289,289,TRUE,311
605,"1,2,4,5",main_effects,605,15,15,TRUE,590
605,"1,2,4,5",two_fi,605,91,91,TRUE,514
605,"1,2,4,5",three_fi,605,289,289,TRUE,316
610,"1,2,4,5",main_effects,610,15,15,TRUE,595
610,"1,2,4,5",two_fi,610,91,91,TRUE,519
610,"1,2,4,5",three_fi,610,289,289,TRUE,321
615,"1,2,4,5",main_effects,615,15,15,TRUE,600
615,"1,2,4,5",two_fi,615,91,91,TRUE,524
615,"1,2,4,5",three_fi,615,289,289,TRUE,326
620,"1,2,4,5",main_effects,620,15,15,TRUE,605
620,"1,2,4,5",two_fi,620,91,91,TRUE,529
620,"1,2,4,5",three_fi,620,289,289,TRUE,331
625,"1,2,4,5",main_effects,625,15,15,TRUE,610
625,"1,2,4,5",two_fi,625,91,91,TRUE,534
625,"1,2,4,5",three_fi,625,289,289,TRUE,336
630,"1,2,4,5",main_effects,630,15,15,TRUE,615
630,"1,2,4,5",two_fi,630,91,91,TRUE,539
630,"1,2,4,5",three_fi,630,289,289,TRUE,341
635,"1,2,4,5",main_effects,635,15,15,TRUE,620
635,"1,2,4,5",two_fi,635,91,91,TRUE,544
635,"1,2,4,5",three_fi,635,289,289,TRUE,346
640,"1,2,4,5",main_effects,640,15,15,TRUE,625
640,"1,2,4,5",two_fi,640,91,91,TRUE,549
640,"1,2,4,5",three_fi,640,289,289,TRUE,351
