id,tier,source,n_studies,sample_sizes,effect_sizes,heterogeneity,stat_sig_re
136,5,filler,15,20-50,0.67,medium,yes
137,5,filler,5,100-1000,1,medium,no
138,5,filler,15,mix,1,none,yes
139,5,filler,10,mix,1.5,large,yes
140,5,filler,5,mix,0.67,large,yes
141,5,filler,15,51-100,0.5,small,no
142,5,filler,15,mix,1.5,large,yes
143,5,filler,15,100-1000,1.5,small,yes
145,5,filler,20,51-100,1,small,no
146,5,filler,10,100-1000,2,small,yes
147,5,filler,5,mix,1.5,none,no
148,5,filler,20,20-50,0.67,none,yes
149,5,filler,20,51-100,0.67,small,yes
150,5,filler,10,20-50,1.5,none,no
151,5,filler,15,51-100,1,medium,no
153,5,filler,10,mix,1,medium,yes
155,5,filler,10,51-100,2,none,yes
156,5,filler,5,100-1000,1,large,no
157,5,filler,5,mix,0.67,small,no
159,5,filler,10,20-50,0.67,medium,yes
160,5,filler,15,20-50,1,large,yes
161,5,filler,10,mix,1.5,none,no
162,5,filler,10,100-1000,0.67,large,yes
163,5,filler,10,51-100,2,small,yes
164,5,filler,5,100-1000,2,large,no
165,5,filler,10,20-50,0.5,none,no
166,5,filler,15,100-1000,0.5,large,no
167,5,filler,10,mix,1.5,small,yes
168,5,filler,20,mix,0.67,none,no
169,5,filler,10,51-100,1,small,yes
170,5,filler,15,mix,0.5,medium,no
171,5,filler,20,mix,1,none,yes
173,5,filler,5,20-50,2,none,yes
174,5,filler,5,51-100,0.5,large,no
175,5,filler,5,mix,1,medium,yes
176,5,filler,15,mix,1.5,medium,yes
178,5,filler,5,20-50,0.5,none,yes
179,5,filler,10,mix,2,large,no
180,5,filler,5,20-50,0.67,medium,yes
181,5,filler,10,51-100,0.5,none,yes
183,5,filler,10,51-100,0.5,none,no
184,5,filler,5,51-100,0.5,small,yes
186,5,filler,5,100-1000,1.5,large,no
187,5,filler,5,20-50,0.67,medium,no
189,5,filler,10,20-50,2,small,yes
190,5,filler,20,20-50,1.5,large,no
191,5,filler,5,mix,0.67,medium,yes
192,5,filler,5,20-50,1.5,small,yes
194,5,filler,20,51-100,0.67,none,no
195,5,filler,15,51-100,0.5,none,no
196,5,filler,15,51-100,0.5,none,yes
197,5,filler,5,mix,1,none,yes
198,5,filler,10,20-50,2,none,no
199,5,filler,20,20-50,0.67,medium,no
200,5,filler,20,51-100,1,medium,yes
201,5,filler,20,51-100,1,large,yes
202,5,filler,20,20-50,1,small,no
203,5,filler,20,20-50,0.67,large,no
204,5,filler,10,51-100,1,none,no
205,5,filler,15,20-50,1.5,none,yes
206,5,filler,5,51-100,1,medium,yes
207,5,filler,5,20-50,1.5,medium,yes
208,5,filler,5,20-50,0.5,large,no
209,5,filler,20,51-100,1.5,large,no
210,5,filler,15,mix,1,small,yes
211,5,filler,20,mix,1,small,no
212,5,filler,20,100-1000,0.67,none,yes
213,5,filler,15,51-100,2,none,no
214,5,filler,20,20-50,0.67,large,yes
215,5,filler,15,51-100,0.5,large,no
216,5,filler,10,20-50,1,medium,no
217,5,filler,15,51-100,1,large,yes
222,5,filler,15,51-100,0.67,small,no
223,5,filler,20,20-50,2,small,no
224,5,filler,5,mix,0.5,large,no
226,5,filler,20,20-50,0.5,none,no
227,5,filler,5,20-50,1.5,large,no
228,5,filler,15,20-50,1.5,medium,yes
229,5,filler,20,mix,0.5,large,yes
230,5,filler,10,mix,2,large,yes
231,5,filler,15,100-1000,1.5,none,yes
233,5,filler,20,51-100,0.5,medium,no
234,5,filler,5,51-100,0.5,medium,no
235,5,filler,5,mix,2,none,no
236,5,filler,10,mix,0.5,medium,yes
237,5,filler,20,mix,0.67,medium,yes
238,5,filler,10,51-100,2,large,yes
241,5,filler,5,100-1000,1.5,small,yes
242,5,filler,20,100-1000,1,large,yes
243,5,filler,20,100-1000,0.5,none,yes
244,5,filler,10,100-1000,1,none,no
245,5,filler,20,51-100,1.5,medium,no
246,5,filler,10,20-50,0.5,large,no
247,5,filler,20,20-50,1.5,small,no
248,5,filler,20,51-100,2,none,yes
249,5,filler,15,mix,0.67,large,no
250,5,filler,10,20-50,0.67,none,no
252,5,filler,10,51-100,0.67,medium,no
253,5,filler,5,100-1000,0.67,small,yes
254,5,filler,10,20-50,1.5,medium,yes
255,5,filler,15,mix,2,medium,no
256,5,filler,10,20-50,2,small,no
257,5,filler,5,51-100,1.5,medium,no
258,5,filler,5,51-100,0.67,medium,no
260,5,filler,5,20-50,2,none,no
261,5,filler,10,100-1000,1.5,large,yes
262,5,filler,10,100-1000,0.5,none,yes
264,5,filler,15,mix,2,large,yes
265,5,filler,10,100-1000,1.5,none,yes
266,5,filler,15,51-100,1,small,no
267,5,filler,5,20-50,0.67,none,no
269,5,filler,20,mix,0.67,medium,no
270,5,filler,15,mix,1.5,small,no
271,5,filler,20,20-50,1,large,no
272,5,filler,20,51-100,0.67,medium,no
273,5,filler,20,51-100,0.5,small,no
274,5,filler,15,mix,0.5,small,yes
275,5,filler,20,20-50,1.5,medium,yes
276,5,filler,10,100-1000,0.67,medium,yes
277,5,filler,15,mix,1,large,yes
278,5,filler,15,20-50,0.67,none,yes
279,5,filler,5,51-100,0.67,small,no
281,5,filler,15,mix,1.5,medium,no
282,5,filler,10,51-100,0.67,none,yes
283,5,filler,10,51-100,0.67,large,yes
284,5,filler,10,51-100,1.5,small,no
285,5,filler,15,100-1000,0.67,none,yes
286,5,filler,5,100-1000,2,medium,yes
287,5,filler,5,51-100,1,none,no
289,5,filler,5,51-100,0.67,medium,yes
290,5,filler,20,mix,2,small,yes
292,5,filler,5,51-100,1,large,no
293,5,filler,5,mix,1.5,small,yes
294,5,filler,5,100-1000,0.67,large,no
295,5,filler,10,20-50,0.5,medium,no
297,5,filler,15,mix,0.67,medium,no
298,5,filler,20,20-50,0.67,small,yes
299,5,filler,10,51-100,2,large,no
300,5,filler,20,100-1000,1.5,none,yes
302,5,filler,5,100-1000,0.5,medium,yes
303,5,filler,5,100-1000,0.67,small,no
304,5,filler,20,51-100,1.5,large,yes
305,5,filler,15,mix,1,small,no
306,5,filler,10,mix,0.67,medium,no
307,5,filler,10,51-100,1.5,large,yes
308,5,filler,5,mix,2,small,yes
309,5,filler,5,51-100,1.5,small,no
310,5,filler,15,51-100,0.67,large,yes
311,5,filler,10,100-1000,2,large,yes
313,5,filler,5,51-100,0.67,none,no
314,5,filler,15,20-50,0.67,small,no
315,5,filler,20,mix,0.5,medium,yes
316,5,filler,10,20-50,2,large,no
318,5,filler,5,20-50,0.5,none,no
319,5,filler,10,51-100,1.5,medium,yes
320,5,filler,15,20-50,0.5,none,yes
321,5,filler,5,mix,1.5,medium,no
322,5,filler,20,mix,1,medium,no
323,5,filler,20,51-100,1,medium,no
324,5,filler,5,20-50,1.5,large,yes
326,5,filler,5,51-100,1.5,large,no
327,5,filler,5,100-1000,0.5,small,yes
328,5,filler,15,20-50,1.5,small,yes
329,5,filler,5,100-1000,1,none,no
330,5,filler,10,mix,1.5,large,no
331,5,filler,20,51-100,0.5,medium,yes
332,5,filler,20,51-100,0.67,large,yes
333,5,filler,20,51-100,0.5,none,yes
334,5,filler,5,51-100,1.5,small,yes
335,5,filler,20,100-1000,0.67,large,yes
336,5,filler,15,51-100,1,large,no
337,5,filler,5,20-50,2,small,yes
338,5,filler,5,mix,0.5,small,yes
339,5,filler,20,51-100,0.5,large,yes
340,5,filler,15,100-1000,1,large,no
341,5,filler,15,mix,2,small,yes
342,5,filler,10,100-1000,0.67,large,no
343,5,filler,20,51-100,1.5,none,yes
344,5,filler,5,mix,0.67,none,yes
345,5,filler,15,51-100,0.67,none,no
346,5,filler,5,100-1000,0.5,large,no
347,5,filler,20,mix,0.5,medium,no
348,5,filler,20,100-1000,0.5,small,yes
349,5,filler,20,100-1000,2,small,yes
351,5,filler,5,mix,2,medium,yes
352,5,filler,10,51-100,0.67,large,no
353,5,filler,10,51-100,1,large,no
354,5,filler,20,51-100,2,medium,yes
355,5,filler,10,mix,0.5,medium,no
357,5,filler,20,mix,1,large,yes
358,5,filler,20,20-50,1.5,medium,no
359,5,filler,10,51-100,2,none,no
360,5,filler,5,51-100,2,none,yes
361,5,filler,20,mix,0.67,large,yes
362,5,filler,20,mix,2,none,yes
363,5,filler,15,51-100,1,none,yes
364,5,filler,5,20-50,1,none,no
365,5,filler,15,mix,2,medium,yes
366,5,filler,10,mix,0.5,none,yes
367,5,filler,10,20-50,1.5,none,yes
369,5,filler,15,51-100,0.5,large,yes
370,5,filler,15,20-50,0.67,small,yes
371,5,filler,5,51-100,0.5,none,no
373,5,filler,20,20-50,1,none,yes
374,5,filler,10,100-1000,2,none,yes
375,5,filler,5,100-1000,1,medium,yes
376,5,filler,5,51-100,1,small,yes
377,5,filler,10,100-1000,1,large,no
379,5,filler,10,51-100,0.5,large,yes
380,5,filler,5,20-50,1,none,yes
382,5,filler,15,100-1000,1.5,large,no
383,5,filler,10,51-100,0.67,medium,yes
384,5,filler,20,100-1000,1.5,large,yes
385,5,filler,10,51-100,1.5,none,no
386,5,filler,20,100-1000,1,none,yes
387,5,filler,10,mix,2,none,no
388,5,filler,15,100-1000,1,none,yes
389,5,filler,10,mix,1,small,yes
390,5,filler,15,100-1000,2,large,yes
391,5,filler,10,mix,1,none,no
392,5,filler,10,mix,0.67,small,no
393,5,filler,20,20-50,1.5,none,yes
394,5,filler,5,mix,1.5,large,yes
395,5,filler,15,mix,1.5,none,no
396,5,filler,20,51-100,2,small,yes
397,5,filler,15,20-50,0.5,none,no
398,5,filler,10,20-50,0.5,medium,yes
399,5,filler,15,20-50,2,small,no
400,5,filler,5,20-50,1,large,yes
401,5,filler,5,51-100,2,large,no
403,5,filler,5,20-50,2,large,no
404,5,filler,5,100-1000,1.5,large,yes
405,5,filler,20,20-50,1.5,none,no
406,5,filler,15,20-50,1.5,medium,no
407,5,filler,15,20-50,1,medium,yes
408,5,filler,20,51-100,0.67,small,no
409,5,filler,5,51-100,0.5,medium,yes
410,5,filler,15,mix,0.67,small,no
411,5,filler,5,mix,0.5,medium,yes
412,5,filler,15,mix,1.5,none,yes
413,5,filler,10,mix,0.5,none,no
416,5,filler,10,100-1000,0.5,medium,yes
418,5,filler,15,100-1000,1.5,large,yes
419,5,filler,15,100-1000,0.5,none,yes
420,5,filler,20,100-1000,0.5,large,no
421,5,filler,20,20-50,2,large,no
422,5,filler,5,51-100,0.5,small,no
423,5,filler,10,mix,2,medium,yes
424,5,filler,20,51-100,1.5,small,no
425,5,filler,15,51-100,1.5,none,no
426,5,filler,5,mix,0.5,large,yes
427,5,filler,15,mix,0.67,small,yes
428,5,filler,15,mix,1,medium,no
430,5,filler,5,51-100,1,small,no
432,5,filler,20,mix,1.5,small,no
433,5,filler,10,mix,1.5,small,no
434,5,filler,10,20-50,0.67,small,yes
435,5,filler,20,51-100,0.67,none,yes
436,5,filler,15,20-50,1,none,yes
437,5,filler,15,100-1000,1,small,no
438,5,filler,10,100-1000,0.5,large,no
439,5,filler,15,20-50,0.5,small,no
440,5,filler,15,mix,0.67,medium,yes
441,5,filler,15,51-100,1.5,large,no
442,5,filler,10,100-1000,1.5,small,yes
443,5,filler,15,20-50,1.5,small,no
444,5,filler,5,51-100,1.5,none,yes
445,5,filler,15,20-50,2,medium,yes
446,5,filler,10,51-100,0.5,small,yes
447,5,filler,10,20-50,0.5,small,no
448,5,filler,15,20-50,0.5,large,yes
449,5,filler,20,mix,1.5,medium,no
450,5,filler,15,mix,1,medium,yes
451,5,filler,5,100-1000,0.67,none,no
452,5,filler,10,mix,0.5,small,yes
454,5,filler,15,mix,0.67,none,yes
455,5,filler,20,51-100,2,large,yes
456,5,filler,5,100-1000,0.67,medium,yes
457,5,filler,20,20-50,0.5,medium,no
458,5,filler,5,mix,1.5,medium,yes
459,5,filler,15,20-50,1,small,yes
460,5,filler,10,20-50,2,medium,yes
461,5,filler,15,20-50,1,medium,no
462,5,filler,15,51-100,2,medium,yes
464,5,filler,10,100-1000,0.67,none,yes
465,5,filler,10,20-50,1.5,medium,no
466,5,filler,5,20-50,2,small,no
467,5,filler,10,mix,0.67,none,yes
469,5,filler,5,20-50,0.5,medium,yes
470,5,filler,20,51-100,1,small,yes
471,5,filler,10,51-100,1.5,none,yes
474,5,filler,10,51-100,1.5,large,no
475,5,filler,20,mix,0.67,small,no
476,5,filler,20,100-1000,1.5,small,yes
477,5,filler,10,100-1000,1,small,yes
478,5,filler,5,100-1000,1,small,yes
479,5,filler,15,mix,0.5,large,yes
481,5,filler,15,mix,0.5,small,no
482,5,filler,15,20-50,0.5,small,yes
483,5,filler,15,mix,0.67,large,yes
484,5,filler,5,20-50,0.5,medium,no
485,5,filler,10,20-50,1,small,no
486,5,filler,20,100-1000,2,large,yes
487,5,filler,10,20-50,0.67,small,no
488,5,filler,15,100-1000,0.5,large,yes
491,5,filler,20,100-1000,0.67,large,no
493,5,filler,5,mix,1,none,no
494,5,filler,20,20-50,0.5,none,yes
495,5,filler,10,51-100,0.5,medium,yes
496,5,filler,10,20-50,0.5,small,yes
497,5,filler,5,51-100,0.67,small,yes
498,5,filler,15,100-1000,1,none,no
499,5,filler,15,20-50,2,large,no
500,5,filler,10,100-1000,1.5,large,no
501,5,filler,10,51-100,1.5,small,yes
503,5,filler,10,51-100,1,none,yes
504,5,filler,20,mix,2,large,no
505,5,filler,10,20-50,0.67,medium,no
506,5,filler,15,mix,0.5,none,yes
507,5,filler,15,51-100,0.67,large,no
508,5,filler,20,20-50,2,none,yes
509,5,filler,15,20-50,2,small,yes
510,5,filler,5,100-1000,1.5,medium,yes
511,5,filler,10,51-100,2,medium,yes
512,5,filler,20,20-50,0.67,small,no
513,5,filler,10,mix,0.67,medium,yes
514,5,filler,10,20-50,2,medium,no
516,5,filler,5,51-100,1,medium,no
517,5,filler,5,20-50,0.5,small,yes
518,5,filler,15,mix,2,none,yes
519,5,filler,20,20-50,0.5,large,yes
520,5,filler,20,mix,1.5,none,yes
521,5,filler,5,51-100,0.67,large,yes
522,5,filler,5,20-50,1,large,no
523,5,filler,5,20-50,0.67,none,yes
524,5,filler,10,mix,1.5,medium,no
525,5,filler,20,51-100,0.67,medium,yes
526,5,filler,5,51-100,2,small,yes
527,5,filler,5,51-100,0.67,large,no
528,5,filler,5,20-50,2,medium,yes
529,5,filler,20,51-100,1,none,yes
530,5,filler,15,20-50,1,small,no
531,5,filler,10,mix,0.5,large,no
532,5,filler,10,100-1000,2,large,no
533,5,filler,15,100-1000,1,large,yes
535,5,filler,15,51-100,1.5,large,yes
536,5,filler,10,mix,0.67,none,no
537,5,filler,15,51-100,0.67,small,yes
538,5,filler,10,20-50,1,medium,yes
540,5,filler,20,20-50,0.5,small,no
541,5,filler,5,mix,0.67,none,no
542,5,filler,15,100-1000,0.67,large,no
543,5,filler,5,20-50,1.5,none,no
544,5,filler,15,mix,0.5,medium,yes
545,5,filler,10,mix,0.67,small,yes
546,5,filler,15,51-100,1.5,medium,yes
547,5,filler,15,51-100,2,none,yes
548,5,filler,10,mix,1.5,medium,yes
549,5,filler,15,51-100,1,none,no
550,5,filler,5,mix,1,large,no
551,5,filler,20,mix,0.5,large,no
552,5,filler,20,20-50,1,medium,no
553,5,filler,5,51-100,2,medium,no
554,5,filler,10,20-50,0.67,large,no
555,5,filler,10,100-1000,1,large,yes
556,5,filler,10,mix,1,medium,no
557,5,filler,10,20-50,1,large,no
558,5,filler,15,20-50,2,large,yes
559,5,filler,20,100-1000,2,none,yes
560,5,filler,15,51-100,0.67,none,yes
561,5,filler,5,mix,0.67,large,no
562,5,filler,20,51-100,0.5,small,yes
563,5,filler,20,mix,1.5,small,yes
565,5,filler,20,mix,1.5,none,no
566,5,filler,20,20-50,2,none,no
567,5,filler,15,51-100,1.5,medium,no
568,5,filler,20,20-50,1.5,large,yes
569,5,filler,20,100-1000,0.5,large,yes
570,5,filler,5,mix,0.67,small,yes
571,5,filler,20,20-50,2,large,yes
572,5,filler,5,100-1000,2,small,yes
573,5,filler,5,mix,1,large,yes
574,5,filler,15,20-50,0.67,large,yes
575,5,filler,20,100-1000,0.67,small,yes
576,5,filler,5,100-1000,1,small,no
577,5,filler,5,20-50,1.5,small,no
578,5,filler,15,51-100,1.5,small,no
579,5,filler,20,mix,1.5,large,yes
580,5,filler,10,mix,0.5,small,no
582,5,filler,5,51-100,1.5,medium,yes
583,5,filler,20,20-50,2,medium,no
584,5,filler,20,20-50,1,large,yes
586,5,filler,10,mix,2,small,yes
587,5,filler,10,100-1000,1,none,yes
588,5,filler,15,51-100,2,large,no
589,5,filler,20,mix,0.67,none,yes
590,5,filler,5,mix,0.5,none,yes
591,5,filler,15,100-1000,2,none,yes
592,5,filler,5,100-1000,0.67,none,yes
593,5,filler,15,20-50,0.5,medium,no
594,5,filler,5,20-50,1.5,none,yes
595,5,filler,10,mix,1,small,no
597,5,filler,10,mix,0.67,large,no
598,5,filler,20,mix,1.5,large,no
599,5,filler,15,51-100,1.5,none,yes
600,5,filler,15,20-50,0.67,medium,no
601,5,filler,20,51-100,1.5,medium,yes
602,5,filler,10,20-50,1.5,small,no
603,5,filler,5,mix,1,small,yes
604,5,filler,10,100-1000,0.5,small,yes
605,5,filler,15,100-1000,0.67,large,yes
606,5,filler,10,20-50,1.5,large,no
607,5,filler,15,51-100,0.67,medium,no
608,5,filler,5,mix,2,large,yes
610,5,filler,5,51-100,2,small,no
612,5,filler,10,51-100,0.5,large,no
613,5,filler,10,100-1000,0.67,small,yes
614,5,filler,10,20-50,0.67,large,yes
615,5,filler,15,20-50,1.5,large,no
616,5,filler,15,20-50,1.5,large,yes
617,5,filler,20,mix,2,large,yes
618,5,filler,5,100-1000,1.5,medium,no
619,5,filler,10,51-100,0.67,none,no
620,5,filler,15,51-100,0.5,medium,no
623,5,filler,15,mix,1.5,small,yes
624,5,filler,15,51-100,0.5,small,yes
626,5,filler,15,20-50,0.5,medium,yes
628,5,filler,20,100-1000,1,small,no
629,5,filler,10,100-1000,0.5,large,yes
630,5,filler,5,100-1000,1.5,none,no
631,5,filler,10,20-50,1,none,no
633,5,filler,10,51-100,0.67,small,yes
634,5,filler,20,mix,0.5,none,no
635,5,filler,5,51-100,2,none,no
636,5,filler,10,mix,1,large,no
637,5,filler,10,51-100,1,large,yes
638,5,filler,15,51-100,2,large,yes
639,5,filler,5,51-100,2,medium,yes
640,5,filler,20,51-100,1.5,small,yes
